GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330807301,2020,807301,3791655,23132,Census Tract 8073.01,39.0107603,-76.9438518,2907,754,1045,2,915,0,35,156,786,83,33,27,0,1,491,151,3693
G2400330807304,2020,807304,1776714,0,Census Tract 8073.04,39.024978,-76.9594342,1095,342,501,2,190,1,7,52,1171,111,9,40,0,0,735,276,2266
G2400330807305,2020,807305,3030479,4428,Census Tract 8073.05,39.0121779,-76.963551,1979,303,1251,13,305,0,29,78,2096,139,22,51,10,3,1358,513,4075
G2400330807404,2020,807404,6701337,3823,Census Tract 8074.04,39.0368587,-76.9073024,3077,1048,1162,11,624,2,32,198,2540,206,53,70,0,9,1703,499,5617
G2400330807405,2020,807405,7093435,27200,Census Tract 8074.05,39.0383526,-76.928309,3970,1699,1368,13,585,0,90,215,2489,164,52,75,2,0,1644,552,6459
G2400330807407,2020,807407,5884099,82323,Census Tract 8074.07,39.0676225,-76.9228098,4970,932,2517,23,1187,0,63,248,1738,241,53,37,1,0,1105,301,6708
G2400330807408,2020,807408,28347382,158885,Census Tract 8074.08,39.0394986,-76.8891889,4952,2283,1761,3,521,3,56,325,978,108,26,27,1,7,523,286,5930
G2400330807409,2020,807409,2300525,2760,Census Tract 8074.09,39.0378008,-76.9471923,2285,307,1524,9,332,4,17,92,1717,85,27,45,1,0,1172,387,4002
G2400330807410,2020,807410,1197484,3423,Census Tract 8074.10,39.0450064,-76.9464217,4239,1767,1999,12,334,0,26,101,1727,128,46,52,0,4,1173,324,5966
G2400330807500,2020,807500,3081004,46025,Census Tract 8075,38.9527218,-76.9413648,4991,2226,2147,23,175,5,70,345,2330,185,61,54,4,3,1482,541,7321
G2400330980000,2020,980000,5357616,30777,Census Tract 9800,38.9936953,-76.9445325,14110,9105,1608,15,2646,0,53,683,942,403,31,18,11,3,299,177,15052
