FID,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC,NEAR_FID,NEAR_DIST,Type
53076,53077,0262 09020038,546664, ,2023-01-01,1,TH,031,1977, ,676,0.005421409,
6139,6140,0174 39010035A,578105, ,2023-01-01,1,TH,031,2022, ,676,0.005421708,
59146,59147,0262 09140022,546000, ,2023-01-01,1,SF,011,1978, ,676,0.005450303,
55985,55986,0262 131A0005,542168, ,2023-01-01,1,TH,031,1979, ,676,0.005458211,
20174,20175,0174 39010080,575329, ,2023-01-01,1,TH,031,2022, ,676,0.005458884,
61188,61189,0293 12  0024,498037, ,2023-01-01,1,TH,031,1974, ,656,0.005471006,
40841,40842,0262 09020039,547954, ,2023-01-01,1,TH,031,1977, ,676,0.00547353,
35165,35166,0174 39010065,575308, ,2023-01-01,1,TH,031,2022, ,676,0.005479705,
99783,99784,0293 24  0001,269188, ,2023-01-01,1,TH,031,1994, ,656,0.005492461,
16720,16721,0174 39010034,575021, ,2023-01-01,1,TH,031,2022, ,676,0.005494424,
